ggF (N3LO),,,,,,,ggF (NNLO+NNLL),,,,,,,,,VBF,,,,,,,,,WH,,,,,,,,,,,ZH,,,,,,,,,,ttH,,,,,,,,,bbH,,,,,,,,,tH (t-ch),,,,,,,,,,,tH (s-ch),,,,,,,,,,,ggF+VBF+WH+ZH+ttH+bbH,,,,W-H,,,,,,,,,W+H,,,,,,,
MH,Cross,Uncertainty,,,,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,W+H,W-H,,MH,Cross,Uncertainty,,,,,1+δEW,gg→ZH,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,tH,tbarH,,MH,Cross,Uncertainty,,,,,1+δEW,tH,tbarH,,Cross,,,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW
,Section,Theory,,,PDF+αs,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,,Section,Scale,,PDF+αs,PDF,αs,,(box diag.),,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,Section,,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,
[GeV],[pb],pos [%],neg [%],Gauss [%],[%],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[pb],,,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],
100.00 ,6.930E+01,+2.0,-4.0 ,±2.3,±3.4,,100.00,6.235E+01,+8.4,-8.8,±3.2,±1.9,±2.6,1.0418,,100.00,4.822E+00,+0.5,-0.3,±1.9,±1.8,±0.6,,,100.00,2.926E+00,+0.4,-0.8,±1.8,,,,1.775E+00,1.151E+00,,100.00,1.704E+00,+2.5,-2.1,±1.7,,,,,,3000.00,1.466E-06,+14.6,-16.9,±24.2,±23.1,±7.2,2.314,,100.00,9.669E-01,+22.2,-27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,1.151E+00,0.4,-0.7,1.9,,,,,100.00,1.775E+00,0.4,-0.8,1.7,,,
105.00 ,6.320E+01,+2.0,-3.9 ,±2.3,±3.3,,105.00,5.720E+01,+8.2,-8.6,±3.2,±1.9,±2.6,1.0436,,105.00,4.623E+00,+0.5,-0.3,±1.9,±1.8,±0.6,,,105.00,2.531E+00,+0.3,-0.8,±1.8,,,,1.538E+00,9.934E-01,,105.00,1.490E+00,+2.6,-2.2,±1.7,,,,,,,,,,,,,,,105.00,8.379E-01,+21.8,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.00,9.934E-01,0.3,-0.8,1.9,,,,,105.00,1.538E+00,0.3,-0.8,1.8,,,
110.00 ,5.790E+01,+1.9,-3.9 ,±2.3,±3.3,,110.00,5.268E+01,+8.0,-8.5,±3.2,±1.9,±2.6,1.0455,,110.00,4.434E+00,+0.5,-0.2,±1.9,±1.8,±0.6,,,110.00,2.194E+00,+0.5,-0.5,±1.8,,,,1.335E+00,8.587E-01,,110.00,1.309E+00,+2.8,-2.4,±1.7,,,,,,,,,,,,,,,110.00,7.262E-01,+21.2,-25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.00,8.587E-01,0.4,-0.5,1.9,,,,,110.00,1.335E+00,0.6,-0.5,1.8,,,
115.00 ,5.310E+01,+1.8,-3.8 ,±2.2,±3.3,,115.00,4.869E+01,+7.9,-8.3,±3.1,±1.8,±2.5,1.0474,,115.00,4.255E+00,+0.5,-0.2,±1.9,±1.8,±0.6,,,115.00,1.917E+00,+0.3,-0.7,±1.8,,,,1.169E+00,7.478E-01,,115.00,1.155E+00,+3.1,-2.4,±1.7,,,,,,,,,,,,,,,115.00,6.325E-01,+20.8,-25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.00,7.478E-01,0.3,-0.7,1.9,,,,,115.00,1.169E+00,0.3,-0.7,1.8,,,
120.00 ,4.890E+01,+1.8,-3.7 ,±2.1,±3.2,,120.00,4.514E+01,+7.7,-8.2,±3.1,±1.8,±2.5,1.0494,,120.00,4.086E+00,+0.5,-0.2,±1.9,±1.8,±0.6,,,120.00,1.679E+00,+0.5,-0.6,±1.8,,,,1.026E+00,6.525E-01,,120.00,1.024E+00,+3.2,-2.7,±1.6,,,,,,,,,,,,,,,120.00,5.534E-01,+20.3,-24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.00,6.525E-01,0.4,-0.6,1.9,,,,,120.00,1.026E+00,0.6,-0.6,1.8,,,
125.00 ,4.520E+01,+1.7,-3.7 ,±2.1,±3.2,,125.00,4.198E+01,+7.6,-8.1,±3.1,±1.8,±2.5,1.0514,,125.00,3.925E+00,+0.5,-0.2,±1.9,±1.8,±0.6,,,125.00,1.475E+00,+0.5,-0.7,±1.9,,,,9.034E-01,5.720E-01,,125.00,9.095E-01,+3.5,-2.8,±1.6,,,,,,,,,,,,,,,125.00,4.879E-01,+20.1,-23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.00,5.720E-01,0.4,-0.7,2.0,,,,,125.00,9.034E-01,0.5,-0.7,1.8,,,
130.00 ,4.180E+01,+1.7,-3.6 ,±2.1,±3.2,,130.00,3.914E+01,+7.5,-8.0,±3.1,±1.8,±2.5,1.0534,,130.00,3.773E+00,+0.4,-0.2,±1.9,±1.8,±0.6,,,130.00,1.303E+00,+0.4,-0.7,±1.8,,,,7.995E-01,5.033E-01,,130.00,8.118E-01,+3.6,-2.9,±1.6,,,,,,,,,,,,,,,130.00,4.304E-01,+19.9,-23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.00,5.033E-01,0.5,-0.6,1.9,,,,,130.00,7.995E-01,0.4,-0.8,1.8,,,
135.00 ,3.880E+01,+1.6,-3.5 ,±2.0,±3.2,,135.00,3.659E+01,+7.4,-7.9,±3.1,±1.8,±2.5,1.0553,,135.00,3.629E+00,+0.4,-0.2,±1.9,±1.8,±0.6,,,135.00,1.153E+00,+0.5,-0.8,±1.8,,,,7.087E-01,4.447E-01,,135.00,7.262E-01,+3.7,-3.2,±1.6,,,,,,,,,,,,,,,135.00,3.818E-01,+19.7,-22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.00,4.447E-01,0.4,-0.8,1.9,,,,,135.00,7.087E-01,0.5,-0.8,1.8,,,
140.00 ,3.600E+01,+1.6,-3.5 ,±2.0,±3.2,,140.00,3.428E+01,+7.2,-7.8,±3.0,±1.8,±2.5,1.0571,,140.00,3.492E+00,+0.4,-0.2,±1.9,±1.8,±0.5,,,140.00,1.025E+00,+0.5,-0.8,±1.9,,,,6.308E-01,3.940E-01,,140.00,6.514E-01,+3.9,-3.2,±1.6,,,,,,,,,,,,,,,140.00,3.383E-01,+19.4,-22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00,3.940E-01,0.4,-0.8,1.9,,,,,140.00,6.308E-01,0.5,-0.8,1.9,,,
145.00 ,3.350E+01,+1.5,-3.5 ,±2.0,±3.2,,145.00,3.219E+01,+7.1,-7.7,±3.0,±1.8,±2.4,1.0587,,145.00,3.362E+00,+0.4,-0.2,±1.9,±1.8,±0.5,,,145.00,9.128E-01,+0.5,-0.8,±1.9,,,,5.630E-01,3.498E-01,,145.00,5.856E-01,+4.1,-3.3,±1.6,,,,,,,,,,,,,,,145.00,3.018E-01,+19.1,-21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.00,3.498E-01,0.4,-0.7,2.0,,,,,145.00,5.630E-01,0.5,-0.8,1.9,,,
150.00 ,3.129E+01,+1.5,-3.4 ,±2.0,±3.1,,150.00,3.029E+01,+7.0,-7.6,±3.0,±1.8,±2.4,1.0598,,150.00,3.239E+00,+0.4,-0.2,±1.9,±1.8,±0.5,,,150.00,8.154E-01,+0.5,-0.8,±1.9,,,,5.037E-01,3.117E-01,,150.00,5.279E-01,+4.2,-3.5,±1.6,,,,,,,,,,,,,,,150.00,2.693E-01,+18.9,-21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.00,3.117E-01,0.5,-0.8,2.0,,,,,150.00,5.037E-01,0.5,-0.8,1.9,,,
160.00 ,2.737E+01,+1.5,-3.3 ,±1.9,±3.1,,160.00,2.697E+01,+6.9,-7.5,±3.0,±1.8,±2.4,1.0486,,160.00,3.010E+00,+0.4,-0.2,±1.9,±1.8,±0.5,,,160.00,6.562E-01,+0.6,-0.8,±1.9,,,,4.068E-01,2.494E-01,,160.00,4.318E-01,+4.6,-3.6,±1.6,,,,,,,,,,,,,,,160.00,2.175E-01,+18.3,-20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.00,2.494E-01,0.5,-0.8,2.0,,,,,160.00,4.068E-01,0.7,-0.8,1.9,,,
170.00 ,2.409E+01,+1.4,-3.2 ,±1.8,±3.1,,170.00,2.419E+01,+6.7,-7.4,±3.0,±1.8,±2.4,1.0206,,170.00,2.802E+00,+0.4,-0.2,±1.9,±1.8,±0.5,,,170.00,5.339E-01,+0.7,-0.9,±1.9,,,,3.321E-01,2.018E-01,,170.00,3.560E-01,+4.8,-3.9,±1.6,,,,,,,,,,,,,,,170.00,1.769E-01,+18.0,-19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.00,2.018E-01,0.6,-0.8,2.0,,,,,170.00,3.321E-01,0.7,-0.9,1.9,,,
180.00 ,2.132E+01,+1.3,-3.2 ,±1.8,±3.1,,180.00,2.184E+01,+6.5,-7.2,±2.9,±1.8,±2.4,1.0053,,180.00,2.612E+00,+0.3,-0.2,±1.9,±1.8,±0.5,,,180.00,4.380E-01,+0.7,-0.8,±1.9,,,,2.734E-01,1.646E-01,,180.00,2.951E-01,+4.9,-3.9,±1.5,,,,,,,,,,,,,,,180.00,1.451E-01,+17.5,-19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.00,1.646E-01,0.6,-0.8,2.0,,,,,180.00,2.734E-01,0.8,-0.8,1.9,,,
190.00 ,1.896E+01,+1.3,-3.1 ,±1.8,±3.0,,190.00,1.984E+01,+6.4,-7.1,±2.9,±1.7,±2.3,0.9872,,190.00,2.440E+00,+0.3,-0.2,±1.9,±1.8,±0.5,,,190.00,3.625E-01,+0.7,-0.9,±1.9,,,,2.270E-01,1.355E-01,,190.00,2.455E-01,+5.2,-4.0,±1.5,,,,,,,,,,,,,,,190.00,1.200E-01,+17.1,-18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.00,1.355E-01,0.6,-0.9,2.0,,,,,190.00,2.270E-01,0.7,-0.9,1.9,,,
200.00 ,1.694E+01,+1.3,-3.2 ,±1.8,±3.0,,200.00,1.812E+01,+6.3,-7.0,±2.9,±1.7,±2.3,0.9793,,200.00,2.282E+00,+0.3,-0.2,±1.9,±1.8,±0.5,,,200.00,3.023E-01,+0.7,-0.8,±1.9,,,,1.899E-01,1.124E-01,,200.00,2.054E-01,+5.1,-4.0,±1.5,,,,,,,,,,,,,,,200.00,1.000E-01,+17.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.00,1.124E-01,0.7,-0.9,2.0,,,,,200.00,1.899E-01,0.7,-0.8,1.8,,,
210.00 ,1.520E+01,+1.4,-3.2 ,±1.8,±3.0,,210.00,1.665E+01,+6.2,-6.9,±2.9,±1.7,±2.3,0.9761,,210.00,2.138E+00,+0.3,-0.2,±1.9,±1.8,±0.5,,,210.00,2.538E-01,+0.7,-0.9,±2.0,,,,1.600E-01,9.383E-02,,210.00,1.722E-01,+5.2,-4.0,±1.5,,,,,,,,,,,,,,,210.00,8.397E-02,+16.7,-17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.00,9.383E-02,0.8,-0.9,2.1,,,,,210.00,1.600E-01,0.7,-0.9,1.9,,,
220.00 ,1.369E+01,+1.4,-3.2 ,±1.8,±3.0,,220.00,1.537E+01,+6.1,-6.8,±2.9,±1.7,±2.3,0.9749,,220.00,2.006E+00,+0.3,-0.2,±1.9,±1.8,±0.5,,,220.00,2.144E-01,+0.8,-0.9,±2.0,,,,1.355E-01,7.893E-02,,220.00,1.449E-01,+4.9,-4.0,±1.5,,,,,,,,,,,,,,,220.00,7.092E-02,+16.4,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.00,7.893E-02,0.7,-0.9,2.1,,,,,220.00,1.355E-01,0.9,-0.9,1.9,,,
230.00 ,1.237E+01,+1.4,-3.2 ,±1.8,±3.0,,230.00,1.426E+01,+6.0,-6.7,±2.9,±1.7,±2.3,0.9749,,230.00,1.884E+00,+0.3,-0.1,±1.9,±1.8,±0.4,,,230.00,1.824E-01,+0.8,-1.0,±2.0,,,,1.156E-01,6.678E-02,,230.00,1.223E-01,+4.8,-3.9,±1.6,,,,,,,,,,,,,,,230.00,6.021E-02,+16.1,-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.00,6.678E-02,0.8,-0.9,2.2,,,,,230.00,1.156E-01,0.8,-1.0,1.9,,,
240.00 ,1.122E+01,+1.4,-3.2 ,±1.8,±3.0,,240.00,1.331E+01,+5.9,-6.6,±2.9,±1.7,±2.3,0.9755,,240.00,1.772E+00,+0.3,-0.1,±1.9,±1.8,±0.4,,,240.00,1.559E-01,+0.9,-1.0,±2.0,,,,9.916E-02,5.675E-02,,240.00,1.034E-01,+4.6,-3.8,±1.6,,,,,,,,,,,,,,,240.00,5.133E-02,+15.8,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.00,5.675E-02,0.9,-0.9,2.2,,,,,240.00,9.916E-02,0.9,-1.0,1.9,,,
250.00 ,1.020E+01,+1.4,-3.2 ,±1.8,±3.0,,250.00,1.248E+01,+5.9,-6.5,±2.9,±1.8,±2.3,0.9762,,250.00,1.669E+00,+0.3,-0.1,±1.9,±1.8,±0.4,,,250.00,1.340E-01,+0.9,-0.9,±2.0,,,,8.547E-02,4.853E-02,,250.00,8.773E-02,+4.4,-3.5,±1.6,,,,,,,,,,,,,,,250.00,4.410E-02,+15.6,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.00,4.853E-02,0.9,-0.9,2.3,,,,,250.00,8.547E-02,0.9,-0.9,1.9,,,
260.00 ,9.300E+00,+1.4,-3.2 ,±1.8,±3.0,,260.00,1.176E+01,+5.8,-6.5,±2.9,±1.8,±2.3,0.9772,,260.00,1.573E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,260.00,1.158E-01,+0.9,-1.0,±2.0,,,,7.404E-02,4.172E-02,,260.00,7.478E-02,+4.2,-3.4,±1.6,,,,,,,,,,,,,,,260.00,3.799E-02,+15.4,-16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.00,4.172E-02,0.9,-0.9,2.3,,,,,260.00,7.404E-02,0.9,-1.0,1.9,,,
270.00 ,8.510E+00,+1.4,-3.2 ,±1.8,±3.0,,270.00,1.114E+01,+5.8,-6.4,±2.9,±1.8,±2.3,0.9783,,270.00,1.485E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,270.00,1.004E-01,+0.9,-1.0,±2.0,,,,6.442E-02,3.602E-02,,270.00,6.406E-02,+3.8,-3.3,±1.6,,,,,,,,,,,,,,,270.00,3.287E-02,+15.3,-16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.00,3.602E-02,1.0,-0.9,2.3,,,,,270.00,6.442E-02,0.9,-1.0,1.9,,,
280.00 ,7.800E+00,+1.4,-3.2 ,±1.8,±3.0,,280.00,1.062E+01,+5.8,-6.3,±2.9,±1.8,±2.2,0.9795,,280.00,1.403E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,280.00,8.750E-02,+1.0,-1.0,±2.1,,,,5.626E-02,3.124E-02,,280.00,5.507E-02,+3.7,-3.0,±1.7,,,,,,,,,,,,,,,280.00,2.854E-02,+15.2,-16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.00,3.124E-02,1.0,-1.0,2.4,,,,,280.00,5.626E-02,1.0,-1.0,2.0,,,
290.00 ,7.160E+00,+1.5,-3.2 ,±1.8,±3.0,,290.00,1.018E+01,+5.8,-6.3,±2.9,±1.8,±2.2,0.9805,,290.00,1.326E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,290.00,7.656E-02,+1.0,-1.0,±2.1,,,,4.937E-02,2.719E-02,,290.00,4.761E-02,+3.4,-2.9,±1.7,,,,,,,,,,,,,,,290.00,2.491E-02,+15.2,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.00,2.719E-02,0.9,-1.0,2.4,,,,,290.00,4.937E-02,1.0,-1.0,2.0,,,
300.00 ,6.590E+00,+1.5,-3.2 ,±1.8,±3.0,,300.00,9.823E+00,+5.8,-6.2,±2.9,±1.8,±2.2,0.9813,,300.00,1.256E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,300.00,6.724E-02,+1.0,-1.0,±2.2,,,,4.348E-02,2.376E-02,,300.00,4.132E-02,+3.2,-2.7,±1.7,,,,,,,,,,,,,,,300.00,2.180E-02,+15.1,-15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00,2.376E-02,1.0,-1.0,2.5,,,,,300.00,4.348E-02,1.0,-1.0,2.0,,,
310.00 ,6.080E+00,+1.5,-3.3 ,±1.9,±3.0,,310.00,9.559E+00,+5.7,-6.1,±2.9,±1.8,±2.2,0.9819,,310.00,1.190E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,310.00,5.925E-02,+1.0,-1.1,±2.2,,,,3.841E-02,2.084E-02,,310.00,3.601E-02,+3.0,-2.5,±1.7,,,,,,,,,,,,,,,310.00,1.915E-02,+15.0,-15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.00,2.084E-02,1.1,-1.0,2.5,,,,,310.00,3.841E-02,1.0,-1.1,2.0,,,
320.00 ,5.620E+00,+1.5,-3.2 ,±1.8,±3.0,,320.00,9.392E+00,+5.7,-6.1,±2.9,±1.8,±2.2,0.9820,,320.00,1.128E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,320.00,5.238E-02,+1.1,-1.0,±2.2,,,,3.404E-02,1.834E-02,,320.00,3.154E-02,+2.8,-2.5,±1.7,,,,,,,,,,,,,,,320.00,1.689E-02,+14.9,-15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.00,1.834E-02,1.1,-1.0,2.6,,,,,320.00,3.404E-02,1.1,-1.0,2.0,,,
330.00 ,5.200E+00,+1.5,-3.3 ,±1.9,±3.0,,330.00,9.349E+00,+5.7,-6.0,±2.9,±1.8,±2.2,0.9813,,330.00,1.071E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,330.00,4.645E-02,+1.1,-1.0,±2.3,,,,3.026E-02,1.619E-02,,330.00,2.771E-02,+2.7,-2.3,±1.7,,,,,,,,,,,,,,,330.00,1.491E-02,+14.7,-15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.00,1.619E-02,1.1,-1.0,2.6,,,,,330.00,3.026E-02,1.1,-1.0,2.1,,,
340.00 ,4.820E+00,+1.5,-3.3 ,±1.9,±3.0,,340.00,9.521E+00,+5.7,-5.9,±2.9,±1.8,±2.2,0.9779,,340.00,1.017E+00,+0.3,-0.1,±1.9,±1.9,±0.4,,,340.00,4.133E-02,+1.1,-1.0,±2.3,,,,2.699E-02,1.434E-02,,340.00,2.447E-02,+2.6,-2.2,±1.8,,,,,,,,,,,,,,,340.00,1.321E-02,+14.6,-15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.00,1.434E-02,1.1,-1.0,2.6,,,,,340.00,2.699E-02,1.1,-1.0,2.1,,,
350.00 ,4.480E+00,+1.5,-3.3 ,±1.9,±3.0,,350.00,1.025E+01,+5.7,-5.8,±2.9,±1.8,±2.2,0.9595,,350.00,9.666E-01,+0.3,-0.1,±1.9,±1.9,±0.3,,,350.00,3.686E-02,+1.2,-1.0,±2.4,,,,2.413E-02,1.273E-02,,350.00,2.173E-02,+2.6,-2.2,±1.8,,,,,,,,,,,,,,,350.00,1.174E-02,+14.6,-15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.00,1.273E-02,1.2,-1.0,2.7,,,,,350.00,2.413E-02,1.2,-1.0,2.2,,,
360.00 ,4.160E+00,+1.5,-3.3 ,±1.9,±3.0,,360.00,1.063E+01,+5.7,-5.8,±2.9,±1.9,±2.2,0.9608,,360.00,9.194E-01,+0.3,-0.1,±1.9,±1.9,±0.3,,,360.00,3.298E-02,+1.2,-1.0,±2.4,,,,2.164E-02,1.134E-02,,360.00,1.940E-02,+2.5,-2.3,±1.8,,,,,,,,,,,,,,,360.00,1.045E-02,+14.5,-15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.00,1.134E-02,1.2,-1.1,2.7,,,,,360.00,2.164E-02,1.2,-1.0,2.2,,,
370.00 ,3.880E+00,+1.6,-3.3 ,±1.9,±3.0,,370.00,1.064E+01,+5.7,-5.7,±2.9,±1.9,±2.2,0.9642,,370.00,8.752E-01,+0.3,-0.1,±2.0,±1.9,±0.3,,,370.00,2.958E-02,+1.2,-1.1,±2.4,,,,1.946E-02,1.012E-02,,370.00,1.738E-02,+2.5,-2.2,±1.8,,,,,,,,,,,,,,,370.00,9.324E-03,+14.5,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.00,1.012E-02,1.2,-1.1,2.7,,,,,370.00,1.946E-02,1.2,-1.1,2.2,,,
380.00 ,3.620E+00,+1.6,-3.3 ,±1.9,±3.0,,380.00,1.040E+01,+5.7,-5.7,±2.9,±1.9,±2.2,0.9677,,380.00,8.337E-01,+0.3,-0.1,±2.0,±1.9,±0.3,,,380.00,2.659E-02,+1.1,-1.1,±2.5,,,,1.753E-02,9.061E-03,,380.00,1.562E-02,+2.6,-2.3,±1.8,,,,,,,,,,,,,,,380.00,8.351E-03,+14.6,-15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.00,9.061E-03,1.2,-1.1,2.8,,,,,380.00,1.753E-02,1.1,-1.1,2.3,,,
390.00 ,3.380E+00,+1.6,-3.3 ,±1.9,±3.1,,390.00,1.000E+01,+5.7,-5.6,±2.9,±1.9,±2.2,0.9713,,390.00,7.947E-01,+0.3,-0.1,±2.0,±1.9,±0.3,,,390.00,2.395E-02,+1.2,-1.1,±2.5,,,,1.582E-02,8.128E-03,,390.00,1.409E-02,+2.6,-2.3,±1.9,,,,,,,,,,,,,,,390.00,7.492E-03,+14.6,-15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.00,8.128E-03,1.2,-1.1,2.8,,,,,390.00,1.582E-02,1.2,-1.1,2.3,,,
400.00 ,3.160E+00,+1.6,-3.3 ,±1.9,±3.1,,400.00,9.516E+00,+5.7,-5.5,±2.9,±1.9,±2.2,0.9741,,400.00,7.580E-01,+0.3,-0.1,±2.0,±1.9,±0.3,,,400.00,2.163E-02,+1.2,-1.1,±2.5,,,,1.432E-02,7.309E-03,,400.00,1.273E-02,+2.8,-2.3,±1.9,,,,,,,,,,,,,,,400.00,6.731E-03,+14.6,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.00,7.309E-03,1.3,-1.2,2.8,,,,,400.00,1.432E-02,1.2,-1.1,2.3,,,
410.00 ,2.960E+00,+1.6,-3.4 ,±2.0,±3.1,,410.00,8.976E+00,+5.7,-5.5,±3.0,±2.0,±2.2,0.9771,,410.00,7.235E-01,+0.3,-0.0,±2.0,±2.0,±0.3,,,410.00,1.957E-02,+1.2,-1.2,±2.6,,,,1.299E-02,6.581E-03,,410.00,1.154E-02,+2.9,-2.5,±1.9,,,,,,,,,,,,,,,410.00,6.046E-03,+14.5,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.00,6.581E-03,1.3,-1.2,2.9,,,,,410.00,1.299E-02,1.2,-1.2,2.4,,,
420.00 ,2.770E+00,+1.6,-3.4 ,±2.0,±3.1,,420.00,8.415E+00,+5.7,-5.4,±3.0,±2.0,±2.2,0.9802,,420.00,6.909E-01,+0.3,-0.0,±2.0,±2.0,±0.3,,,420.00,1.774E-02,+1.3,-1.3,±2.6,,,,1.180E-02,5.944E-03,,420.00,1.049E-02,+3.0,-2.5,±1.9,,,,,,,,,,,,,,,420.00,5.470E-03,+14.5,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.00,5.944E-03,1.3,-1.3,2.9,,,,,420.00,1.180E-02,1.3,-1.3,2.4,,,
430.00 ,2.600E+00,+1.6,-3.4 ,±2.0,±3.1,,430.00,7.853E+00,+5.7,-5.4,±3.0,±2.0,±2.2,0.9830,,430.00,6.602E-01,+0.3,-0.1,±2.0,±2.0,±0.3,,,430.00,1.612E-02,+1.3,-1.2,±2.6,,,,1.074E-02,5.378E-03,,430.00,9.558E-03,+3.0,-2.7,±1.9,,,,,,,,,,,,,,,430.00,4.941E-03,+14.4,-14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.00,5.378E-03,1.3,-1.3,2.9,,,,,430.00,1.074E-02,1.3,-1.2,2.4,,,
440.00 ,2.440E+00,+1.7,-3.4 ,±2.0,±3.1,,440.00,7.301E+00,+5.7,-5.3,±3.0,±2.0,±2.2,0.9853,,440.00,6.312E-01,+0.3,-0.1,±2.0,±2.0,±0.3,,,440.00,1.467E-02,+1.3,-1.3,±2.6,,,,9.800E-03,4.872E-03,,440.00,8.722E-03,+3.2,-2.8,±2.0,,,,,,,,,,,,,,,440.00,4.472E-03,+14.4,-14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.00,4.872E-03,1.4,-1.3,2.9,,,,,440.00,9.800E-03,1.3,-1.3,2.4,,,
450.00 ,2.300E+00,+1.6,-3.4 ,±2.0,±3.1,,450.00,6.771E+00,+5.7,-5.3,±3.0,±2.0,±2.2,0.9878,,450.00,6.038E-01,+0.3,-0.1,±2.0,±2.0,±0.3,,,450.00,1.337E-02,+1.3,-1.2,±2.6,,,,8.945E-03,4.424E-03,,450.00,7.980E-03,+3.3,-2.9,±2.0,,,,,,,,,,,,,,,450.00,4.057E-03,+14.5,-14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.00,4.424E-03,1.3,-1.3,2.9,,,,,450.00,8.945E-03,1.3,-1.2,2.4,,,
